단계,현재 클릭 수
회원가입 요소 탐지 및 클릭 시도 (URL: https://www.food-ology.co.kr/),1
회원가입 요소 탐지 및 클릭 시도 (URL: https://accounts.kakao.com/login/?continue=https%3A%2F%2Fkauth.kakao.com%2Foauth%2Fauthorize%3Fclient_id%3Dc580a05e88f8e5684a5ebe3cbeb29e02%26redirect_uri%3Dhttps%253A%252F%252Fwww.food-ology.co.kr%252FApi%252FMember%252FOauth2ClientCallback%252Fkakao%252F%26response_type%3Dcode%26auth_tran_id%3Dm1ozws08ngc580a05e88f8e5684a5ebe3cbeb29e02m95wuf4e%26ka%3Dsdk%252F1.43.5%2520os%252Fjavascript%2520sdk_type%252Fjavascript%2520lang%252Fko-KR%2520device%252FMacIntel%2520origin%252Fhttps%25253A%25252F%25252Fwww.food-ology.co.kr%26is_popup%3Dfalse%26through_account%3Dtrue&talk_login=hidden#login),2
❌ 회원가입 관련 요소 없음 (URL: https://accounts.kakao.com/weblogin/create_account/?continue=https%3A%2F%2Fkauth.kakao.com%2Foauth%2Fauthorize%3Fclient_id%3Dc580a05e88f8e5684a5ebe3cbeb29e02%26redirect_uri%3Dhttps%253A%252F%252Fwww.food-ology.co.kr%252FApi%252FMember%252FOauth2ClientCallback%252Fkakao%252F%26response_type%3Dcode%26auth_tran_id%3Dm1ozws08ngc580a05e88f8e5684a5ebe3cbeb29e02m95wuf4e%26ka%3Dsdk%252F1.43.5%2520os%252Fjavascript%2520sdk_type%252Fjavascript%2520lang%252Fko-KR%2520device%252FMacIntel%2520origin%252Fhttps%25253A%25252F%25252Fwww.food-ology.co.kr%26is_popup%3Dfalse%26through_account%3Dtrue&lang=ko&showHeader=false#selectVerifyMethod),2
